"DATE","START","VISITOR","V_PTS","HOME","H_PTS","OT","ATTENDANCE","V_DEFRTG","H_DEFRTG"
"Fri, Dec 4, 2015","7:00p","PHX","106","WAS","109","nan","17,255","109.8","106.48"
"Sat, Dec 5, 2015","10:30p","ORL","101","LAC","103","nan","19,146","107.47","104.57"
"Sat, Dec 5, 2015","1:00p","DEN","108","PHI","105","nan","15,677","109.47","110.15"
"Sun, Dec 6, 2015","3:30p","PHX","93","MEM","95","nan","16,022","109.8","108.69"
"Sun, Dec 6, 2015","7:00p","SAC","95","OKC","98","nan","18,203","109.07","106.22"
"Sun, Dec 6, 2015","6:00p","DAL","116","WAS","104","nan","16,394","107.48","106.48"
"Mon, Dec 7, 2015","7:00p","DET","84","CHA","104","nan","15,481","106.19","105.01"
"Mon, Dec 7, 2015","7:30p","WAS","114","MIA","103","nan","19,600","106.48","105.34"
"Mon, Dec 7, 2015","8:00p","POR","88","MIL","90","nan","14,389","108.67","109.65"
"Mon, Dec 7, 2015","8:00p","BOS","111","NOP","93","nan","15,715","104.1","110.17"
"Mon, Dec 7, 2015","7:30p","DAL","104","NYK","97","nan","19,812","107.48","108.43"
"Tue, Dec 8, 2015","7:00p","POR","100","CLE","105","nan","20,562","108.67","105.32"
"Tue, Dec 8, 2015","9:00p","ORL","85","DEN","74","nan","13,925","107.47","109.47"
"Tue, Dec 8, 2015","7:00p","GSW","131","IND","123","nan","18,165","104.32","103.51"
"Tue, Dec 8, 2015","10:00p","UTA","106","SAC","114","nan","16,505","104.78","109.07"
"Wed, Dec 9, 2015","7:00p","CHI","100","BOS","105","nan","17,318","107.2","104.1"
"Wed, Dec 9, 2015","9:30p","ATL","98","DAL","95","nan","19,936","102","107.48"
"Wed, Dec 9, 2015","7:30p","MEM","93","DET","92","nan","13,411","108.69","106.19"
"Wed, Dec 9, 2015","8:00p","LAC","109","MIL","95","nan","14,224","104.57","109.65"
"Wed, Dec 9, 2015","9:00p","ORL","104","PHX","107","nan","17,637","107.47","109.8"
"Wed, Dec 9, 2015","7:30p","SAS","94","TOR","97","nan","19,800","99.55","106.16"
"Wed, Dec 9, 2015","9:00p","NYK","85","UTA","106","nan","18,586","108.43","104.78"
"Wed, Dec 9, 2015","7:00p","HOU","109","WAS","103","nan","16,041","109.1","106.48"
"Thu, Dec 10, 2015","7:30p","PHI","91","BKN","100","nan","13,266","110.15","111.6"
"Thu, Dec 10, 2015","8:00p","LAC","80","CHI","83","nan","21,491","104.57","107.2"
"Thu, Dec 10, 2015","10:30p","NYK","97","SAC","99","nan","17,317","108.43","109.07"
"Fri, Dec 11, 2015","7:30p","GSW","124","BOS","119","2OT","18,624","104.32","104.1"
"Fri, Dec 11, 2015","8:00p","CHA","123","MEM","99","nan","17,111","105.01","108.69"
"Fri, Dec 11, 2015","8:00p","WAS","105","NOP","107","nan","16,875","106.48","110.17"
"Fri, Dec 11, 2015","7:00p","DET","107","PHI","95","nan","17,239","106.19","110.15"
"Fri, Dec 11, 2015","9:30p","LAL","87","SAS","109","nan","18,418","112.4","99.55"
"Sat, Dec 12, 2015","5:00p","LAC","105","BKN","100","nan","15,689","104.57","111.6"
"Sat, Dec 12, 2015","8:00p","NOP","94","CHI","98","nan","21,605","110.17","107.2"
"Sat, Dec 12, 2015","7:00p","BOS","98","CHA","93","nan","18,490","104.1","105.01"
"Sat, Dec 12, 2015","8:00p","LAL","97","HOU","126","nan","18,456","112.4","109.1"
"Sat, Dec 12, 2015","8:30p","GSW","95","MIL","108","nan","18,717","104.32","109.65"
"Sat, Dec 12, 2015","10:00p","NYK","112","POR","110","nan","19,511","108.43","108.67"
"Sun, Dec 13, 2015","6:00p","MEM","97","MIA","100","nan","19,813","108.69","105.34"
"Sun, Dec 13, 2015","3:30p","MIN","101","PHX","108","nan","16,919","111.02","109.8"
"Mon, Dec 14, 2015","7:30p","ORL","105","BKN","82","nan","12,946","107.47","111.6"
"Mon, Dec 14, 2015","8:00p","WAS","95","MEM","112","nan","15,397","106.48","108.69"
"Mon, Dec 14, 2015","8:30p","UTA","81","SAS","118","nan","18,418","104.78","99.55"
"Tue, Dec 15, 2015","7:30p","CLE","89","BOS","77","nan","18,624","105.32","104.1"
"Tue, Dec 15, 2015","10:30p","MIL","95","LAL","113","nan","18,997","109.65","112.4"
"Wed, Dec 16, 2015","8:00p","PHI","106","ATL","127","nan","14,827","110.15","102"
"Wed, Dec 16, 2015","7:30p","MIA","104","BKN","98","nan","15,113","105.34","111.6"
"Wed, Dec 16, 2015","8:00p","MEM","85","CHI","98","nan","21,032","108.69","107.2"
"Wed, Dec 16, 2015","7:30p","BOS","116","DET","119","nan","13,120","104.1","106.19"
"Wed, Dec 16, 2015","7:00p","DAL","81","IND","107","nan","14,824","107.48","103.51"
"Wed, Dec 16, 2015","7:30p","MIN","102","NYK","107","nan","19,812","111.02","108.43"
